attrictions,type,reviews,html,image,position
Arab Street,Neighbourhoods,2208,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324757-Reviews-Arab_Street-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/11/d1/a7/a8/caption.jpg,"Singapore 199745, Singapore"
ArtScience Museum at Marina Bay Sands,Speciality Museums,1526,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138895-Reviews-ArtScience_Museum_at_Marina_Bay_Sands-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/12/0e/00/0b/singapore-art-science.jpg,"10 Bayfront Avenue Marina Bay Sands, Singapore 018956, Singapore"
Asian Civilisations Museum,History Museums,2109,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310896-Reviews-Asian_Civilisations_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-s/01/fc/53/a5/asian-civilisations-museum.jpg,"1 Empress Place Empress Place Building, Singapore 179555, Singapore"
Battlebox,Historic Sites,2049,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d9859121-Reviews-Battlebox-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/12/bb/9c/ba/battlebox.jpg,"2 Cox Terrace | Fort Canning Park, Singapore 179622, Singapore"
Buddha Tooth Relic Temple and Museum,Sacred & Religious Sites,6237,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1438273-Reviews-Buddha_Tooth_Relic_Temple_and_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/03/cd/dc/ac/buddha-tooth-relic-temple.jpg,"288 South Bridge Road, Singapore 058840, Singapore"
Chijmes,Historic Sites,694,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d338376-Reviews-Chijmes-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/0e/a9/2e/cf/photo1jpg.jpg,"30 Victoria Street Chijmes, Singapore 187996, Singapore"
Chinatown,Neighbourhoods,13605,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0d/15/96/81/photo1jpg.jpg,"Crot | Trengganu, Singapore 048942, Singapore"
Chinese and Japanese Gardens,Gardens,730,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d379346-Reviews-Chinese_and_Japanese_Gardens-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/09/57/2f/3c/chinese-and-japanese.jpg,"1 Chinese Garden Road Chinese Garden, Singapore 619795, Singapore"
Clarke Quay,Shopping Malls,3231,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324756-Reviews-Clarke_Quay-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/08/2e/d8/69/clarke-quay-at-night.jpg,"3 River Valley Road Clarke Quay | Nearest Train Stattion: NE5 Clarke Quay MRT and DT20 Fort Canning Station, Singapore 179019, Singapore"
East Coast Park,Beaches,1158,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317426-Reviews-East_Coast_Park-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/07/d2/0c/32/east-coast-park.jpg,"Along East Coast Parkway and East Coast Park Service Road, Singapore 455486, Singapore"
Fort Canning Park,Parks,976,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324755-Reviews-Fort_Canning_Park-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-s/02/48/25/79/fort-canning-centre-picture.jpg,"River Valley Rd, Singapore 179038, Singapore"
Gardens by the Bay,Gardens,56069,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/05/d9/0e/f0/gardens-by-the-bay.jpg,"18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore"
Haji Lane,Neighbourhoods,941,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3512383-Reviews-Haji_Lane-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/05/73/c4/c8/haji-lane.jpg,"21A Haji Lane | 21A Haji Lane, Singapore 189214, Singapore"
Haw Par Villa,Historic Sites,813,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324758-Reviews-Haw_Par_Villa-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/13/2a/ac/5a/tiger-balm-gardens.jpg,"262 Pasir Panjang Road Haw Par Villa | 1-min walk from Haw Par Villa MRT Station, Singapore 118628, Singapore"
Henderson Waves,Bridges,591,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3561693-Reviews-Henderson_Waves-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-s/03/1d/8c/94/henderson-waves.jpg,"221 Henderson Road Henderson Building, Singapore 159557, Singapore"
Jewel,,,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d17237163-Reviews-Jewel_Changi_Airport-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/17/2d/3a/0e/photo0jpg.jpg,"78 Airport Boulevard Singapore 819666, Singapore"
Jurong Bird Park,Nature & Wildlife Areas,5015,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315466-Reviews-Jurong_Bird_Park-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/06/4b/f1/48/jurong-bird-park.jpg,"2 Jurong Hill Jurong Bird Park, Singapore 628925, Singapore"
Kampong Glam,,,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317436-Reviews-Kampong_Glam-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0f/a6/d7/ac/kampong-glam.jpg,"Kampong Glam, Singapore, Singapore"
Lau Pa Sat Festival Pavilion,Historic Sites,1539,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386879-Reviews-Lau_Pa_Sat_Festival_Pavilion-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0a/65/22/c0/lau-pa-sat-festival-pavilion.jpg,"18 Raffles Quay Telok Ayer Festival Market, Singapore 048582, Singapore"
Lee_Kong_Chian_Natural_History_Museum,,,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8015325-Reviews-Lee_Kong_Chian_Natural_History_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0e/64/00/22/photo2jpg.jpg,"2 Conservatory Drive?|?National University of Singapore,?Singapore 117377,?Singapore"
Little India,Neighbourhoods,3900,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324541-Reviews-Little_India-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/04/39/fb/02/little-india.jpg,"Serangoon Road, Singapore, Singapore"
Marina Bay,Marinas,12288,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1177497-Reviews-Marina_Bay-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/12/0d/fc/1c/marina-bay-sands-skyline.jpg,"Marina Boulevard, Singapore 018980, Singapore"
Maxwell Food Centre,Flea & Street Markets,3138,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d13078277-Reviews-Maxwell_Food_Centre-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/06/40/0b/5d/caption.jpg,"1 Kadayanallur Street, Singapore 069184, Singapore"
Merlion Park,Monuments & Statues,9144,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/18/33/5c/4c/1807-merlion-marinabay.jpg,"1 Fullerton Road One Fullerton | Merlion Park, Singapore 049213, Singapore"
Mustafa Centre,Shopping Malls,2901,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2139541-Reviews-Mustafa_Centre-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/17/67/71/17/photo0jpg.jpg,"145 Syed Alwi Road Mustafa Centre, Singapore 207704, Singapore"
National Gallery Singapore,Children's Museums,1172,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8077179-Reviews-National_Gallery_Singapore-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/11/ec/5b/45/national-gallery-singapore.jpg,"1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957, Singapore"
National Library of Singapore,Libraries,556,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1994786-Reviews-National_Library_of_Singapore-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0d/fa/70/7c/caption.jpg,"100 Victoria Street National Library Building, Singapore 188064, Singapore"
National Museum of Singapore,Speciality Museums,2645,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324550-Reviews-National_Museum_of_Singapore-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/06/a0/df/a5/national-museum-of-singapore.jpg,"93 Stamford Road National Museum of Singapore, Singapore 178897, Singapore"
National Orchid Garden,Gardens,13240,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317453-Reviews-National_Orchid_Garden-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/05/ae/4f/a2/national-orchid-garden.jpg,"1 Cluny Rd | Within the Singapore Botanic Gardens, Singapore 259569, Singapore"
Night Safari,Nature & Wildlife Areas,11771,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324761-Reviews-Night_Safari-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0f/23/5a/7a/photo4jpg.jpg,"80 Mandai Lake Road, Singapore 729826, Singapore"
Peranakan Museum,Speciality Museums,1232,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1491151-Reviews-Peranakan_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0a/0a/c4/cb/peranakan-museum.jpg,"39 Armenian Street Peranakan Museum, Singapore 179941, Singapore"
Raffles Hotel Arcade,Points of Interest & Landmarks,1696,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1492403-Reviews-Raffles_Hotel_Arcade-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/18/9a/6c/d3/raffles-boutique.jpg,"1 Beach Road Raffles Hotel, Singapore 189673, Singapore"
River Safari,Theme Parks,2859,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4089881-Reviews-River_Safari-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/10/ba/c0/6e/say-hi-to-singapore-s.jpg,"80 Mandai Lake Road Singapore Zoological Gardens, Singapore 729826, Singapore"
Science Centre Singapore,Science Museums,745,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446423-Reviews-Science_Centre_Singapore-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/18/0f/c5/e4/dinoquest-exhibition.jpg,"15 Science Centre Road Singapore Science Centre, Singapore 609081, Singapore"
Singapore Art Museum,Art Museums,516,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310899-Reviews-Singapore_Art_Museum-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/07/fb/37/2a/singapore-art-museum.jpg,"61 Stamford Road | #02-02, Stamford Court, Singapore 178892, Singapore"
Singapore Botanic Gardens,Gardens,18838,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/11/7f/e5/ce/beautiful-botanic-gardens.jpg,"1 Cluny Road, Singapore 259569, Singapore"
Singapore Cable Car,Tramways,3987,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/07/11/1e/bd/singapore-cable-car.jpg,"109 Mount Faber Road Faber Peak, Singapore 099203, Singapore"
Singapore Flyer,Observation Decks & Towers,16956,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/01/fa/5a/ee/singapore-flyer.jpg,"30 Raffles Avenue, Singapore 039803, Singapore"
Singapore Zoo,Zoos,21561,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324542-Reviews-Singapore_Zoo-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0a/1d/a2/76/caption.jpg,"80 Mandai Lake Road, Singapore 729826, Singapore"
Sri Mariamman Temple,Sacred & Religious Sites,987,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324753-Reviews-Sri_Mariamman_Temple-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/12/dc/ea/7f/court-yard.jpg,"244 South Bridge Road Sri Mariamman Temple, Singapore 058793, Singapore"
Sri Veeramakaliamman Temple,Shopping Malls,504,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317472-Reviews-Sri_Veeramakaliamman_Temple-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/07/2b/52/8f/sri-veeramakaliamman.jpg,"141 Serangoon Road, Singapore 218042, Singapore"
Suntec City,Shopping Malls,587,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317398-Reviews-Suntec_City-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/18/99/c0/ca/fountain-of-wealth-touch.jpg,"3 Temasek Boulevard Suntec City, Singapore 038983, Singapore"
Takashimaya Singapore,Neighbourhoods,692,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1640638-Reviews-Takashimaya_Singapore-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/04/7c/40/29/takashimaya-singapore.jpg,"391 Orchard Road Ngee Ann City Tower a | Takashimaya Department Store, Singapore 238873, Singapore"
The Helix Bridge,Bridges,2776,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138898-Reviews-The_Helix_Bridge-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0e/48/52/69/caption.jpg,"Linking between Marina Bay and Marina Centre, Singapore 038981, Singapore"
The Intan,Speciality Museums,524,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d7791180-Reviews-The_Intan-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-o/09/9a/cc/0f/the-front-at-the-intan.jpg,"69 Joo Chiat Terrace, Singapore 427231, Singapore"
The Shoppes at Marina Bay Sands,Shopping Malls,2105,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2138910-Reviews-The_Shoppes_at_Marina_Bay_Sands-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/0a/dc/bb/40/photo1jpg.jpg,"10 Bayfront Avenue Marina Bay Sands, Singapore 018972, Singapore"
The Southern Ridges,Scenic Walking Areas,1109,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1523862-Reviews-The_Southern_Ridges-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-w/10/96/92/ad/walk-above-the-forest.jpg,"Alexandra Road | Mount Faber Park; Telok Blangah Hill Park; or Kent Ridge Park, Singapore 099203, Singapore"
VivoCity,Shopping Malls,1384,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d634131-Reviews-VivoCity-Singapore.html,https://media-cdn.tripadvisor.com/media/photo-s/00/19/b0/13/vivo-city.jpg,"1 Harbourfront Walk Vivo City, Singapore 098585, Singapore"
