Spot_name,introduction
Arab_Street,"Arab Street was the name of a road and neighbourhood in Singapore. There are two explanations behind the name. The first one is that the area was owned by an Arab merchant, Syed Ali bin Mohamed Al Junied and that it was the site of an Arab kampong, hence the name Arab Street.[1] The Chinese referred the street as jiau a koi Javanese, in the view of the Javanese who used to be the majority inhabitants of the area. Spices, textiles, basketry items and songkoks are sold along this row of shophouses with five-foot way at Arab Street. In Tamil, Arab Street is known as pukadai sadkku (flower shops street), because of shops selling homegrown flowers, lime and other goods sold by Javanese women. In 1889, a huge fire occurred.
<br>"
ArtScience_Museum_at_Marina_Bay_Sands,"Although it has a permanent exhibition, ArtScience Gallery, the ArtScience Museum mainly hosts touring exhibitions curated by other museums.
<br>"
Asian_Civilisations_Museum,"The Asian Civilisations Museum (ACM) is an institution which forms a part of the four museums in Singapore, the other three being the Peranakan Museum at Old Tao Nan School, the National Museum of Singapore and the Singapore Art Museum.
<br>"
Battlebox,"The Battle Box is the popular name of the Fort Canning Bunker, formerly known as Headquarters Malaya Command Operations Bunker, constructed under Fort Canning Hill, Singapore, as an emergency, bomb-proof command centre during the Malayan Campaign and the Battle of Singapore. The Battle Box is currently a museum and tourist attraction.
<br>"
Buddha_Tooth_Relic_Temple_and_Museum,"""The temple is based on the Tang dynasty architectural style and built to house the tooth relic of the historical Buddha. The ground breaking ceremony was conducted on 13 March 2005. Costing S$62 million and 2 years later, a soft launch was held to coincide with the 2007 Vesak Day celebration.""[2] It is claimed that the relic of Buddha from which it gains its name was found in 1980 in a collapsed stupa in Myanmar.[3] The relic can be viewed by the public at the 4th floor of the temple.
<br>"
Chijmes,"CHIJMES (pronounced ""chimes"", acronym definition: Convent of the Holy Infant Jesus Middle Education School) is a historic building complex in Singapore, which began life as a Catholic convent known as the Convent of the Holy Infant Jesus (CHIJ). The complex is located at Victoria Street in the Downtown Core, within the Central Area, Singapore's central business district.
<br>"
Chinatown,"Chinatown is a subzone and ethnic enclave located within the Outram district in the Central Area of Singapore. Featuring distinctly Chinese cultural elements, Chinatown has had a historically concentrated ethnic Chinese population.
<br>"
Chinese_and_Japanese_Gardens,"It is built on an artificial island in Jurong Lake and is connected to the adjacent Chinese Garden island by bridge named the Bridge of Double Beauty.[3] Along with the aforementioned Chinese Garden, the two gardens are collectively known as the Jurong Gardens.
<br>"
Clarke_Quay,"Clarke Quay is a historical riverside quay in Singapore, located within the Singapore River Planning Area. The quay is situated upstream from the mouth of the Singapore River and Boat Quay.
<br>"
East_Coast_Park,"The 185 hectare East Coast Park is the largest park in Singapore, and is built entirely on reclaimed land with a man-made beach, where swimming is possible. The beach is protected by breakwaters.
<br>"
Fort_Canning_Park,"Fort Canning Hill, formerly Government Hill, Singapore Hill and Bukit Larangan (Forbidden Hill in Malay), is a small hill about 48 metres (157?ft) high in the southeast portion of the island city-state of Singapore, within the Central Area that forms Singapore's central business district. Although small in physical size, it has a long history intertwined with that of the city-state due to its location as the highest elevation within walking distance to the city's civic district within the Downtown Core. It is also a popular venue for music shows and concerts.
<br>"
Gardens_by_the_Bay,"Gardens by the Bay is a nature park spanning 101 hectares (250 acres) of reclaimed land[2] in the Central Region of Singapore, adjacent to the Marina Reservoir. The park consists of three waterfront gardens: Bay South Garden (in Marina South), Bay East Garden (in Marina East) and Bay Central Garden (in Downtown Core and Kallang).[3] The largest of the gardens is Bay South Garden at 54 hectares (130 acres) designed by Grant Associates. Its Flower Dome is the largest glass greenhouse in the world.[4]
<br>"
Haji_Lane,"Haji Lane got its name because of the businesses here. There were many Arab pilgrim-brokers who would arrange the haj for Muslims in Singapore and from the nearby islands such as Java.
<br>"
Haw_Par_Villa,"Haw Par Villa is a theme park located along Pasir Panjang Road in Singapore. The park contains over 1,000 statues and 150 giant dioramas depicting scenes from Chinese mythology, folklore, legends, history, and illustrations of various aspects of Confucianism. During the 1970s and 1980s, the park was a major local attraction; it is estimated that the park then welcomed at least 1 million annual visitors,[1] and is considered as part of Singapore's cultural heritage.[2] As of 2018, under the park operator Journeys, efforts to revitalise the park are ongoing with the holding of themed events[3] and the planning and construction of ancillary museums.[4]
<br>"
Henderson_Waves,"Henderson Waves is a 274-metre-long (899 ft)[5] pedestrian bridge. At 36 metres (118 ft) above Henderson Road, it is the highest pedestrian bridge in Singapore. It connects Mount Faber Park and Telok Blangah Hill Park. It was designed by IJP Corporation, London, and RSP Architects Planners and Engineers (PTE) ltd Singapore.
The bridge has a wave-form made up of seven undulating curved steel ribs that alternately rise over and under its deck. The curved ribs form alcoves that function as shelters with seats within. Slats of yellow balau wood, an all-weather timber found in Southeast Asia, are used in the decking. The wave-forms are lit with LED lamps at night from 7 pm to 2 am daily.[2] It also was built in 2008 costing ?25.5m.
<br>"
Jewel,"Jewel Changi Airport (also known as Jewel or Jewel Changi) is a nature-themed entertainment and retail complex on the landside of Changi Airport, Singapore. Linked to three of its passenger terminals, the centrepiece is the world's tallest indoor waterfall, named the Rain Vortex, which is surrounded by a terraced forest setting.[4]
<br>"
Jurong_Bird_Park,"Jurong Bird Park is an aviary and tourist attraction in Jurong, Singapore. The bird park, managed by Wildlife Reserves Singapore, covers an area of 0.2 square kilometres (49 acres) on the western slope of Jurong Hill, the highest point in the Jurong region.
<br>"
Kampong_Glam,"Kampong Glam is a neighbourhood and ethnic enclave in Singapore. It is located north of the Singapore River, in the planning area of Rochor, known as the Malay-Muslim quarter.
<br>"
Lau_Pa_Sat_Festival_Pavilion,"Lau Pa Sat, also known as Telok Ayer Market, is a historic building located within the Downtown Core in the Central Area of Singapore. It is currently a popular food centre. There are several shops inside selling local cuisine.
<br>"
Lee_Kong_Chian_Natural_History_Museum,"The idea for a natural history collection was first mooted by Sir Stamford Raffles, and the collection of Southeast Asian biodiversity was begun in 1849 at the Raffles Museum (now the National Museum of Singapore). In 1972, the Government of Singapore removed the natural history collections from the National Museum and gave them to the Zoology Department of what was then the University of Singapore. They were housed in various temporary premises, including the Nanyang Technological University for seven years. Subsequently, they were returned to the NUS and housed in the Raffles Museum of Biodiversity Research. LKCNHM inherited the natural history collections from the Raffles Museum of Biodiversity Research.[2]
<br>"
Little_India,"Little India is an ethnic district in Singapore. It is located east of the Singapore River¡ªacross from Chinatown, located west of the river¡ªand north of Kampong Glam. Both areas are part of the urban planning area of Rochor. Little India is commonly known as Tekka in the Indian Singaporean community.
<br>"
Marina_Bay,"Marina Bay is a bay located in the Central Area of Singapore surrounded by the perimeter of four other planning areas, the Downtown Core, Marina East, Marina South and Straits View. The area surrounding the bay itself, also called Marina Bay, is a 360 hectare extension to the adjacent Central Business District. It is also the new downtown of Singapore built on reclaimed land.[1]. Famous landmark iconic buildings include the Marina Bay Sands, Marina Bay Financial Centre, Asia Square, The Sail@Marina Bay and Marina One integrated mixed-use developments. It is one of the key focus areas by the Urban Redevelopment Authority. Marina Bay is envisioned by the URA as a work-live-play vibrant 24 hour CBD. 
<br>"
Maxwell_Food_Centre,"Tanjong Pagar (alternatively spelled Tanjung Pagar) is a historic district located within the Central Business District in Singapore, straddling the Outram Planning Area and the Downtown Core under the Urban Redevelopment Authority's urban planning zones.
<br>"
Merlion_Park,"Merlion Park is a famous Singapore landmark and a major tourist attraction, located near One Fullerton, Singapore, near the Central Business District (CBD). The Merlion is a mythical creature with a lion's head and the body of a fish that is widely used as a mascot and national personification of Singapore. Two Merlion statues are located at the park. The original Merlion structure measures 8.6 meters tall and spouts water from its mouth. It has subsequently been joined by a Merlion cub, which is located near the original statue and measures just 2 metres tall.
<br>"
Mustafa_Centre,"In 1971, Mustaq Ahmad; his father, Haji Mohamed Mustafa (1916-2001); and his uncle, Samsuddin, founded Mohamed Mustafa and Samsudin Co Pte Ltd (MMSC), and opened a retail store on Campbell Lane in Singapore.[2]  It mainly sold ready-made clothing and later expanded to sale of electronic items. In 1985, Mustaq moved his business to the ground floor of Serangoon Plaza.
<br>"
National_Gallery_Singapore,"Situated in Singapore¡¯s Civic District, the Gallery consists of two national monuments, the former Supreme Court Building and City Hall, and has a combined floor area of 64,000 square metres (690,000?sq?ft),[2] making it the largest visual arts venue and largest museum in Singapore. A total cost of S$532 million[3][4] has gone into National Gallery Singapore¡¯s development.
<br>"
National_Library_of_Singapore,"The National Library in Singapore is the flagship building of the National Library Board, located on an 11,304-square metre site in Victoria Street.[1]
<br>"
National_Museum_of_Singapore,"The National Museum of Singapore is the oldest museum in Singapore. Its history dates back to 1849, when it was started as a section of a library at Singapore Institution and called the Raffles Library and Museum. After several relocations, in 1887 it moved to its permanent site at Stamford Road in the Museum Planning Area.
<br>"
National_Orchid_Garden,"The Singapore Botanic Gardens has been developed along a 3-Core Concept. The three Cores consist of Tanglin, which is the heritage core that retains the old favourites and rustic charms of the historic Gardens; Central, which is the tourist belt of the Gardens; and Bukit Timah, which is the educational and recreational zone. Each Core offers an array of attractions.
<br>"
Night_Safari,"A night safari is a nocturnal visit to a zoo or wildlife-spotting natural area. The term was first used by the Night Safari, Singapore, which opened in 1994.[1] While the term generally applies to zoos or facilities that allow visitors to view animals within enclosures or fenced areas, the term is expanding to include viewing of wildlife in national parks and other natural areas, such as in Laos.
<br>"
Peranakan_Museum,"On January 1, 2006 the Museum, known then as ACM 1[1] closed the Armenian Street wing for a major revamp. At its closure, the museum management chose Peranakan culture theme over a children's museum and a Chinese ceramic museum as their new showcase in the Tao Nan School space. This enabled the Museum to house the world's most distinctive and comprehensive Peranakan museum collection of artifacts and wares, with a potential annual visitorship numbers of 112,000 people. Also, the revamp enabled 25 per cent more exhibition space for contextual displays for different aspects of Peranakan home and lifestyle. It also includes plans for Peranakan-themed eateries and shops in the row of four shop-houses adjacent to its building.[2]
<br>"
Raffles_Hotel_Arcade,"Raffles Hotel is a colonial-style luxury hotel in Singapore. It was established by Armenian hoteliers, the Sarkies Brothers, in 1887. The hotel was named after British statesman Sir Thomas Stamford Raffles, the founder of Singapore. It is the flagship property of Raffles Hotels & Resorts, and is managed by AccorHotels after Accor acquired FRHI Hotels & Resorts. The hotel is owned by Qatar-based, government-owned Katara Hospitality.[1] The hotel commenced Phase 3 of a three-phase restoration programme on 13 December 2017.[2]The Raffles Hotel reopened in August 2019 following the completion of the renovation.[3]
<br>"
River_Safari,"The River Safari is a river-themed zoo and aquarium located in Singapore. It is built over 12 hectares (30 acres) and nestled between its two counterparts, the Singapore Zoo and the Night Safari, Singapore.[2] It is the first of its kind in Asia and features freshwater exhibits and a river boat ride as its main highlights. The safari was built at a cost of S$160m, with an expected visitor rate of 820,000 people yearly.[4]
<br>"
Science_Centre_Singapore,"The Science Centre was carved out of the National Museum of Singapore as a separate institution so that the latter could focus on its artistic and historical collections. This idea was first mooted in 1969 by the former Science Council of Singapore, now known as the Agency for Science, Technology and Research (A*Star), and was approved by the government.
<br>"
Singapore_Art_Museum,"The Singapore Art Museum (Abbreviation: SAM) housed in a restored 19th century mission school, opened its doors in 1996 as the first fully dedicated visual arts museum in Singapore and is committed to creating meaningful encounters with art for all visitors, through their exhibitions, research, publications, public and educational outreach. Since then, SAM has built one of the world¡¯s most important collections of contemporary art by artists from Singapore, Southeast Asia and Asia.
<br>"
Singapore_Botanic_Gardens,"The Singapore Botanic Gardens is a 160-year-old tropical garden located at the fringe of Singapore's Orchard Road shopping district. It is one of three gardens, and the only tropical garden, to be honoured as a UNESCO World Heritage Site.  The Botanic Gardens has been ranked Asia's top park attraction since 2013, by TripAdvisor Travellers' Choice Awards. It was declared the inaugural Garden of the Year, International Garden Tourism Awards in 2012, and received Michelin's three-star rating in 2008.[1][2]
<br>"
Singapore_Cable_Car,"The Singapore Cable Car is a gondola lift providing an aerial link from Mount Faber (Faber Peak Singapore) on the main island of Singapore to the resort island of Sentosa across the Keppel Harbour. Opened on 15 February 1974, it was the first aerial ropeway system in the world to span a harbour. However, it is not the first aerial ropeway system to span the sea. For instance, Awashima Kaij¨­ Ropeway in Japan, built in 1964, goes over a short strait to an island.[1][2][3] Although referred to by its operators as a cable car, the listed system is in fact a monocable gondola lift and not an aerial tramway. A round-trip ticket currently costs SGD?33 for adults and SGD?22 for children.[4]
<br>"
Singapore_Flyer,"The Singapore Flyer is a giant observation wheel at Downtown Core, Singapore. It opened in 2008, with construction having taken about 2? years.[1] It carried its first paying passengers on 11 February, had a soft opening to the public on 1 March, and was then officially opened on 15 April. It has 28 air-conditioned capsules, each able to accommodate 28 passengers, and incorporates a three-storey terminal building.[5][6]
<br>"
Singapore_Zoo,"The Singapore Zoo, formerly known as the Singapore Zoological Gardens or Mandai Zoo and now commonly known locally  as the Singapore Zoo, occupies 28 hectares (69 acres) on the margins of Upper Seletar Reservoir within Singapore's heavily forested central catchment area.  The zoo was built at a cost of $9?million granted by the government of Singapore and opened on 27 June 1973. It is operated by Wildlife Reserves Singapore, who also manage the neighbouring Night Safari, River Safari and the Jurong Bird Park. There are about 315 species of animal in the zoo, of which some 16 percent are considered to be threatened species. The zoo attracts 1.7?million visitors each year.[1]
<br>"
Sri_Mariamman_Temple,"The Sri Mariamman Temple was founded in 1827 by Naraina Pillai, eight years after the East India Company established a trading settlement in Singapore. Pillai was a government clerk from Penang who arrived in Singapore with Sir Stamford Raffles on his second visit to the island in May 1819. Pillai went on to set up the island's first construction company, and also entered the textile trade. He rapidly established himself in business and was identified as a leader of the Indian community.
<br>"
Sri_Veeramakaliamman_Temple,"Sri Veeramakaliamman Temple is a Hindu temple located in the middle of Little India in the southern part of Singapore.
<br>"
Suntec_City,"Suntec City is a major mixed-use development located in Marina Centre, a subzone of the Downtown Core in Singapore, which combines a shopping mall, office buildings, and a convention centre. Construction began on 18 January 1992 (with earthworks) followed by full completion and opening on 22 July 1997.
<br>"
Takashimaya_Singapore,"Ngee Ann City is a shopping and commercial centre located on Orchard Road, Singapore. The S$520?million building was officially opened on 21 September 1993 by then Prime Minister, Goh Chok Tong. Many Singaporeans refer to Ngee Ann City as ""Taka""[citation needed], a slang-abbreviation of the anchor tenant's name, Takashimaya.
<br>"
The_Helix_Bridge,"The Helix Bridge, officially The Helix,[1] and previously known as the Double Helix Bridge, is a pedestrian bridge linking Marina Centre with Marina South in the Marina Bay area in Singapore. It was officially opened on 24 April 2010 at 9 pm; however, only half was opened due to ongoing construction at the Marina Bay Sands.[1] It is located beside the Benjamin Sheares Bridge and is accompanied by a vehicular bridge, known as the Bayfront Bridge. The entire bridge was opened on 18 July 2010 to complete the entire walkway around Marina Bay.
<br>"
The_Intan,"The Intan. A collection of all things Peranakan, and more. An ambitious attempt to reconcile the beauty of the past into a modern home setting.
<br>"
The_Shoppes_at_Marina_Bay_Sands,"The Shoppes at Marina Bay Sands(R) is one of Singapore's largest luxury shopping malls, with over 800,000 square feet of high-end retail shoppes such as Louis Vuitton, Miu Miu and Chanel. This eye-catching modern shopping mecca features a contemporary and open design, with breathtaking views of Singapore's city skyline. Located in the heart of the Central Business District, visitors can look forward to a refreshing mix of international luxury brands, emerging labels and new concepts.
<br>"
The_Southern_Ridges,"The Southern Ridges is a 10-kilometre (6.2?mi)[1] trail that connects parks along the southern ridge of Singapore. Some of the attractions along this trail include its greenery and the connecting bridges. This project linked up the parks between the Kent Ridge Park and HarbourFront. The idea to link these parks was coined in 2002 by Urban Redevelopment Authority (URA) and it took 2 years to complete and cost S$25.5?million.
<br>"
VivoCity,"VivoCity is the largest shopping mall in Singapore. Located in the HarbourFront precinct of Bukit Merah, it was designed by the Japanese architect Toyo Ito. Its name is derived from the word vivacity. According to Mapletree chairman Edmund Cheng, VivoCity ""evokes a lifestyle experience that is modern, stimulating and accessible to everyone, a place bubbling with energy and flowing with vitality"".[1] In December 2016, VivoCity was recognized by Forbes as one of the top shopping malls in Singapore.[2]
<br>"
